age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
47,3,163843.847,3,16,1,1,2,1,1,2,1,1,3,0,1,1,3
72,3,59895,3,16,,1,1,2,1,3,,0,3,0,1,1,
43,3,163843.847,1,12,3,2,2,1,2,3,1,0,3,1,1,1,1
55,3,163843.847,4,18,,1,1,1,2,2,,0,4,1,1,1,
50,3,163843.847,1,14,2,1,2,3,1,2,2,1,1,0,1,0,1
23,2,23595,1,11,,1,1,2,2,6,,0,3,1,1,1,
45,1,49005,1,12,2,1,2,3,1,5,2,1,3,0,1,1,1
71,3,49005,2,14,,1,2,2,1,1,,0,3,0,0,1,
86,3,363,1,12,2,1,3,1,2,4,5,0,1,1,0,0,0
33,2,39930,1,13,,1,2,3,2,1,,1,4,1,0,1,
56,2,39930,1,13,,1,1,2,1,3,,0,4,0,1,1,
43,1,19965,1,13,2,1,2,3,1,0,3,1,3,0,0,1,0
32,2,32670,0,11,,2,2,2,2,4,,0,4,1,0,1,
37,2,49005,1,12,,1,1,3,2,2,,0,4,1,1,1,
25,2,15427.5,2,15,,1,2,2,2,2,,1,2,1,0,0,
71,3,,4,19,2,1,1,,1,1,3,0,4,0,1,1,2
75,3,23595,1,12,,1,3,2,2,7,,0,3,1,0,1,
68,3,49005,1,12,,1,2,1,2,3,,1,3,1,1,1,
55,3,116160,1,12,2,2,2,1,1,7,1,1,3,0,1,1,0
46,2,59895,1,14,,1,2,3,1,0,,0,2,0,1,0,
58,2,32670,1,12,4,1,3,3,2,0,2,0,2,1,0,0,0
43,2,87120,3,16,1,1,2,2,2,6,2,1,3,1,1,1,2
58,3,87120,3,16,,1,1,1,2,1,,1,4,1,0,1,
40,2,32670,1,12,,1,2,3,2,2,,1,3,1,0,1,
44,2,27225,1,12,3,1,3,3,2,9,3,0,3,1,1,1,0
36,3,23595,4,20,,1,3,2,2,1,,1,3,1,0,1,
28,4,59895,1,15,,1,1,1,1,8,,1,2,0,0,0,
33,3,39930,4,16,1,1,3,1,1,1,0,1,3,0,1,1,0
23,3,23595,3,17,,1,2,1,1,1,,0,4,0,0,1,
70,3,59895,1,12,1,1,2,2,2,1,2,0,4,1,1,1,2
41,4,163843.847,4,19,,1,1,1,1,1,,1,3,0,1,1,
53,3,,3,16,4,1,1,1,2,5,0,0,4,1,1,1,0
59,,6534,4,20,,1,2,3,2,1,,1,4,1,0,1,
35,1,9982.5,0,10,2,1,2,3,2,4,2,0,3,1,0,1,0
26,3,15427.5,1,13,,1,2,2,1,2,,1,4,0,0,1,
51,1,6534,1,12,,,,2,2,9,,0,2,1,0,0,
27,1,1452,1,11,3,1,2,3,2,2,0,0,3,1,0,1,0
30,2,23595,0,10,,1,2,2,1,5,,1,2,0,0,0,
39,3,363,0,10,1,1,3,2,2,0,12,0,2,1,0,0,9
60,3,,0,11,3,2,2,2,2,10,4,0,2,1,0,0,1
74,4,13612.5,0,6,3,1,3,3,2,8,10,0,2,1,0,0,1
74,1,9982.5,0,10,2,1,3,3,2,8,9,0,2,1,0,0,0
57,2,72600,3,14,1,1,1,1,2,4,1,1,3,1,0,1,1
35,2,59895,3,18,1,1,1,2,2,1,0,0,4,1,1,1,5
36,3,39930,4,20,1,1,2,2,2,2,0,0,4,1,0,1,0
37,3,49005,4,18,1,1,2,2,2,1,0,1,3,1,0,1,0
78,3,163843.847,4,19,,1,1,1,2,1,,0,4,1,0,1,
41,2,,1,12,,1,1,2,1,2,,1,3,0,0,1,
42,3,163843.847,2,14,3,1,2,1,1,0,1,1,3,0,1,1,1
35,2,49005,2,14,,1,3,3,2,1,,1,4,1,0,1,
33,2,116160,3,16,3,1,1,2,1,2,2,1,3,0,1,1,0
44,3,116160,1,12,,1,1,2,1,2,,1,3,0,0,1,
41,2,49005,2,16,,1,2,3,1,1,,1,3,0,1,1,
52,3,32670,1,12,1,1,2,3,1,0,2,1,3,0,0,1,2
41,2,17242.5,1,13,3,1,2,2,2,3,1,1,2,1,0,0,1
41,2,17242.5,1,12,,1,1,3,2,10,,1,3,1,0,1,
68,2,,1,12,,1,2,3,1,3,,0,2,0,0,0,
72,3,101640,4,20,,1,1,2,1,5,,0,2,0,1,0,
68,1,19965,4,19,2,1,2,1,1,5,0,0,3,0,0,1,0
50,3,72600,3,16,,1,2,2,1,1,,1,3,0,0,1,
40,3,101640,4,17,,1,2,2,1,2,,1,3,0,0,1,
33,2,27225,4,20,,1,2,2,1,2,,1,3,0,0,1,
27,3,163843.847,3,16,,1,2,1,1,0,,0,3,0,0,1,
58,2,39930,3,16,,1,2,3,2,9,,1,3,1,1,1,
66,1,1452,1,12,2,1,2,3,1,3,2,0,2,0,0,0,0
89,3,,1,12,,1,2,2,2,3,,0,4,1,0,1,
29,2,49005,2,14,,1,2,3,2,2,,1,2,1,1,0,
89,3,9982.5,0,8,2,1,2,3,2,11,5,0,2,1,0,0,0
78,2,23595,1,12,,1,2,1,2,1,,0,3,1,0,1,
52,2,8167.5,1,12,3,1,3,2,2,6,4,0,2,1,0,0,2
50,2,9982.5,1,11,2,2,2,2,1,1,2,0,2,0,0,0,0
25,2,27225,3,16,,2,1,1,2,1,,0,3,1,1,1,
37,3,101640,3,16,3,1,2,1,1,3,0,1,2,0,1,0,3
54,2,,3,16,,1,1,3,2,2,,1,4,1,0,1,
52,2,,2,14,1,1,2,3,1,6,0,1,3,0,1,1,
29,2,363,3,17,,1,2,2,2,1,,0,3,1,1,1,
75,3,87120,3,19,,1,1,3,2,1,,0,3,1,1,1,
81,3,59895,1,13,,1,1,2,1,0,,0,3,0,1,1,
55,3,163843.847,4,18,3,1,1,2,2,4,1,1,4,1,1,1,1
52,2,59895,1,15,,1,1,2,2,9,,0,4,1,0,1,
33,2,,3,16,,1,2,3,2,3,,0,4,1,0,1,
56,3,163843.847,1,12,2,1,2,2,1,1,2,1,2,0,0,0,2
49,3,101640,1,12,1,1,1,1,2,2,3,1,4,1,1,1,0
26,3,163843.847,3,16,,1,1,1,1,1,,1,3,0,0,1,
36,2,87120,4,20,3,1,2,3,1,1,2,1,3,0,1,1,1
27,2,49005,2,16,1,1,2,3,2,6,2,1,4,1,0,1,1
60,4,9982.5,1,14,,1,2,3,2,5,,0,3,1,0,1,
48,2,39930,1,12,3,1,1,2,1,1,4,1,1,0,0,0,0
47,2,39930,1,12,,1,3,2,2,8,,1,1,1,1,0,
36,2,,2,14,2,1,2,2,2,5,3,1,3,1,0,1,1
64,2,9982.5,1,12,,1,3,2,2,6,,0,2,1,0,0,
38,3,116160,3,16,1,1,1,2,2,4,2,1,4,1,0,1,1
62,2,49005,1,12,,1,2,2,1,3,,0,3,0,0,1,
62,2,72600,3,16,2,2,1,3,2,1,2,0,1,1,1,0,0
65,3,,2,14,,1,1,2,2,2,,0,3,1,1,1,
60,3,,1,14,2,1,2,3,1,3,2,1,2,0,1,0,0
47,2,1452,3,16,,1,2,3,2,1,,0,3,1,0,1,
43,4,163843.847,3,16,,1,2,2,2,2,,0,3,1,1,1,
30,3,27225,3,16,1,2,2,2,1,1,3,1,3,0,0,1,2
39,3,163843.847,4,18,,1,2,1,1,1,,1,4,0,1,1,
52,2,,1,12,,1,1,2,2,4,,0,3,1,1,1,
61,1,13612.5,4,18,1,1,3,3,2,3,2,0,2,1,0,0,0
58,2,59895,1,12,,1,2,2,1,4,,1,3,0,1,1,
31,3,3993,2,14,3,1,1,2,1,1,2,0,4,0,0,1,1
52,3,32670,3,16,,1,2,3,2,11,,0,3,1,1,1,
46,2,32670,2,16,2,2,1,1,2,6,1,0,3,1,1,1,5
54,2,72600,0,12,3,1,1,2,1,11,3,1,4,0,0,1,1
33,3,59895,4,18,3,1,1,2,1,2,1,1,3,0,1,1,4
61,1,9982.5,1,12,,1,3,3,2,1,,0,2,1,0,0,
66,1,,0,11,2,1,3,3,2,11,1,0,1,1,0,0,1
41,2,5445,1,12,,1,3,3,2,2,,0,1,1,0,0,
50,2,59895,1,12,,1,2,2,1,1,,1,4,0,0,1,
75,2,,1,14,,2,3,3,1,5,,0,3,0,1,1,
27,1,13612.5,0,14,,1,2,3,1,1,,1,2,0,0,0,
55,3,72600,4,20,,1,2,2,1,1,,1,4,0,0,1,
51,2,49005,1,14,3,1,2,3,2,1,2,1,3,1,0,1,6
56,3,101640,3,16,2,1,1,2,1,3,2,0,4,0,0,1,3
41,3,163843.847,4,18,,1,2,1,2,1,,0,2,1,1,0,
67,2,32670,1,14,,1,2,3,1,4,,0,3,0,0,1,
38,2,8167.5,1,12,1,1,2,3,2,3,3,0,2,1,0,0,0
76,3,27225,4,16,,1,3,2,2,4,,0,2,1,0,0,
66,3,11797.5,2,14,3,2,3,2,1,2,4,0,1,0,0,0,2
84,2,8167.5,3,17,,1,2,1,2,4,,0,2,1,0,0,
46,2,8167.5,3,16,,2,2,2,1,6,,1,3,0,0,1,
67,3,49005,4,18,,1,2,1,1,1,,0,4,0,1,1,
34,2,59895,1,12,2,1,2,2,1,3,3,1,3,0,1,1,1
29,2,363,0,8,3,1,3,2,2,4,2,0,2,1,1,0,0
39,2,15427.5,1,14,,1,2,2,2,4,,0,3,1,0,1,
51,2,19965,0,2,,1,1,2,2,6,,0,3,1,0,1,
40,2,49005,0,8,1,1,1,2,2,6,2,1,2,1,1,0,0
32,2,17242.5,0,9,2,1,2,3,1,1,3,1,3,0,0,1,1
79,3,17242.5,1,13,,2,1,2,2,6,,0,3,1,0,1,
49,3,101640,3,16,2,1,1,1,1,4,3,1,3,0,0,1,2
22,2,59895,2,15,1,1,2,2,1,3,2,0,3,0,0,1,1
30,3,72600,3,16,2,1,2,3,1,4,4,1,4,0,1,1,3
47,3,163843.847,1,15,3,1,2,1,1,2,2,1,3,0,1,1,2
37,3,49005,3,16,,1,1,2,1,3,,1,3,0,0,1,
38,2,101640,3,16,1,1,2,2,2,1,1,1,3,1,0,1,0
46,3,163843.847,4,20,2,1,3,2,1,1,0,0,1,0,1,0,0
21,3,49005,1,15,2,1,2,2,1,1,1,0,3,0,0,1,0
43,3,,1,12,3,2,1,,1,1,5,0,4,0,1,1,1
45,3,163843.847,3,16,,1,1,3,2,1,,0,4,1,1,1,
77,3,49005,1,12,,1,2,1,1,9,,0,3,0,1,1,
45,2,32670,0,12,1,2,2,2,2,5,2,1,3,1,0,1,0
47,2,59895,1,13,1,1,1,1,1,3,2,1,2,0,0,0,1
41,3,163843.847,3,16,,1,1,1,1,2,,1,2,0,1,0,
50,2,49005,0,6,,1,1,3,1,7,,1,4,0,1,1,
25,2,59895,1,17,,1,2,3,1,1,,1,2,0,0,0,
45,3,163843.847,4,18,,1,1,1,1,0,,1,3,0,1,1,
48,3,49005,1,12,,1,1,2,2,6,2,1,3,1,1,1,5
25,2,39930,4,17,,1,2,2,1,1,,1,3,0,0,1,
33,2,39930,3,18,,1,2,2,2,7,,1,2,1,0,0,
70,3,27225,1,12,1,1,2,1,2,5,3,0,4,1,0,1,0
66,3,163843.847,3,16,,1,1,1,2,1,,0,3,1,1,1,
81,3,87120,4,19,,1,2,1,1,2,,0,3,0,1,1,
48,2,101640,3,19,1,1,3,2,2,3,2,1,3,1,0,1,0
62,2,49005,3,18,,1,2,2,2,4,,0,3,1,1,1,
43,2,59895,1,12,,1,2,3,1,1,,1,2,0,1,0,
34,3,39930,1,16,1,1,1,1,2,3,0,1,4,1,0,1,2
32,3,49005,1,14,2,1,1,2,1,1,2,1,2,0,0,0,3
51,3,49005,1,12,1,2,1,1,1,8,4,0,3,0,1,1,0
44,4,101640,4,17,1,,2,1,2,1,4,0,4,1,1,1,0
36,,72600,1,13,,1,2,2,2,1,,0,3,1,1,1,
35,2,163843.847,3,16,,1,2,1,2,3,,1,4,1,1,1,
36,1,59895,3,18,,1,1,3,1,1,,0,3,0,0,1,
19,2,,1,12,,2,3,1,1,6,,0,4,0,0,1,
30,2,39930,3,16,2,1,1,2,2,5,1,1,3,1,0,1,0
62,3,59895,1,13,2,2,1,3,1,3,3,0,1,0,1,0,1
35,3,59895,4,20,,2,2,1,2,1,,1,2,1,1,0,
41,2,,1,14,2,1,1,2,1,2,2,1,4,0,0,1,6
62,3,49005,4,20,2,1,2,3,2,2,2,0,3,1,0,1,3
20,2,363,1,13,,1,2,2,1,1,,1,4,0,0,1,
30,2,2541,1,13,1,2,1,3,2,3,2,0,3,1,0,1,1
47,,59895,1,12,2,2,2,3,2,1,4,0,2,1,0,0,1
44,2,72600,0,11,,1,2,1,1,8,,1,3,0,1,1,
44,2,49005,4,18,,1,1,3,2,2,,0,3,1,1,1,
62,3,72600,3,16,1,1,2,1,2,2,2,0,3,1,0,1,0
69,2,23595,1,13,2,1,1,2,2,1,7,0,3,1,0,1,1
48,3,,1,15,,1,2,3,1,2,,1,2,0,0,0,
59,3,27225,3,16,,1,1,2,1,2,,1,4,0,1,1,
54,3,23595,0,9,2,1,1,2,2,5,4,0,2,1,1,0,1
49,2,13612.5,1,14,1,1,2,3,2,6,3,0,3,1,0,1,3
47,2,,1,12,,1,2,1,2,6,,0,4,1,1,1,
83,3,,1,12,2,1,2,1,2,3,8,0,4,1,0,1,0
38,2,59895,2,14,,1,2,2,1,2,,1,3,0,0,1,
28,2,49005,1,14,,1,2,2,1,4,,1,3,0,1,1,
73,2,116160,1,12,3,1,2,1,2,6,3,1,3,1,0,1,0
31,3,72600,4,17,2,1,2,2,2,2,2,1,4,1,0,1,1
50,3,163843.847,3,19,2,2,1,1,1,1,1,1,3,0,1,1,2
67,3,8167.5,1,11,3,1,1,1,2,5,2,0,1,1,0,0,0
41,3,19965,0,12,,1,1,1,1,8,,1,3,0,1,1,
60,3,59895,3,19,1,1,2,2,2,2,5,0,4,1,1,1,1
36,3,72600,3,16,,1,1,1,2,6,,0,3,1,1,1,
39,3,163843.847,3,16,1,1,2,2,2,4,2,1,3,1,1,1,1
23,3,17242.5,1,13,1,1,2,1,2,7,15,0,3,1,0,1,1
63,1,8167.5,0,9,,1,3,3,2,3,,0,1,1,0,0,
40,3,17242.5,1,13,2,1,1,1,1,4,0,1,3,0,0,1,0
40,2,72600,1,14,1,1,2,2,1,2,3,1,4,0,1,1,1
30,3,116160,4,19,1,1,1,1,2,2,2,1,3,1,1,1,1
60,3,72600,1,12,,1,1,1,1,6,,1,2,0,0,0,
69,3,49005,3,16,,1,2,1,1,9,,0,3,0,0,1,
43,2,49005,1,12,4,2,1,1,1,2,3,1,4,0,0,1,1
28,3,32670,1,12,2,2,2,3,1,5,4,0,3,0,0,1,1
69,3,101640,3,16,1,1,2,3,2,2,2,0,2,1,1,0,0
27,1,2541,0,8,,1,2,3,2,12,,0,4,1,0,1,
62,2,32670,2,14,3,1,2,3,2,5,3,0,3,1,1,1,1
74,1,13612.5,1,14,1,1,3,3,1,7,5,0,1,0,0,0,0
32,2,363,1,12,,1,3,2,2,3,,0,3,1,0,1,
68,1,32670,1,12,2,1,2,2,2,6,6,0,3,1,1,1,0
39,2,32670,1,12,,1,2,2,1,2,,1,3,0,0,1,
21,2,32670,1,12,1,1,1,3,2,10,0,0,2,1,0,0,0
52,3,163843.847,3,16,2,1,1,1,2,3,1,1,4,1,0,1,1
46,4,163843.847,3,16,2,1,2,1,1,1,1,1,3,0,1,1,1
56,3,163843.847,1,12,,1,2,1,1,1,,0,4,0,1,1,
42,2,49005,1,13,3,2,1,3,1,4,3,1,1,0,1,0,1
35,2,49005,1,9,,1,3,1,1,13,,1,2,0,1,0,
58,3,116160,3,17,,2,1,1,1,3,,1,3,0,1,1,
59,4,163843.847,3,16,3,1,1,1,2,3,4,0,3,1,1,1,3
44,3,72600,4,18,,1,1,1,1,2,,1,3,0,1,1,
62,3,163843.847,4,18,,2,1,1,2,2,,1,3,1,1,1,
51,3,32670,3,16,,1,2,2,2,1,,1,4,1,0,1,
40,2,39930,1,15,1,2,3,3,2,3,4,1,1,1,0,0,1
52,2,39930,1,12,3,2,2,2,1,1,1,1,4,0,0,1,0
52,2,27225,1,14,,1,1,2,2,4,,0,2,1,1,0,
36,3,163843.847,4,18,2,1,1,1,2,1,1,0,4,1,1,1,2
56,2,59895,1,12,3,2,2,2,1,4,2,1,3,0,1,1,0
64,2,49005,1,13,,1,1,1,2,1,,0,4,1,1,1,
62,2,87120,4,19,,1,2,2,2,1,,1,3,1,1,1,
35,3,59895,3,16,,1,2,2,2,4,,0,4,1,1,1,
36,3,49005,2,14,,1,2,2,2,3,,1,3,1,0,1,
62,4,163843.847,1,13,2,1,1,1,2,2,2,1,3,1,0,1,1
30,3,87120,1,16,,1,2,1,1,1,,1,4,0,1,1,
79,3,101640,4,16,2,1,2,1,1,1,1,0,4,0,1,1,1
60,3,101640,1,12,,1,2,1,2,0,,1,3,1,1,1,
51,3,163843.847,4,18,2,,1,1,1,5,1,1,3,0,1,1,2
59,1,72600,0,9,4,1,2,3,1,2,2,0,2,0,1,0,0
53,3,,1,13,4,2,1,1,2,3,0,1,3,1,1,1,1
47,2,19965,1,13,,2,1,1,1,1,,1,3,0,1,1,
41,4,163843.847,4,20,,1,1,2,2,3,,1,4,1,1,1,
64,3,,1,12,,2,1,2,1,2,,0,2,0,1,0,
80,3,59895,4,18,3,1,2,2,2,5,2,0,3,1,1,1,1
29,2,39930,3,16,4,1,3,3,2,2,6,0,1,1,1,0,1
64,3,9982.5,1,12,2,1,2,2,1,3,2,0,3,0,0,1,2
40,1,49005,1,13,,1,2,3,2,4,,1,3,1,0,1,
56,2,72600,3,16,3,1,2,3,2,6,2,1,1,1,1,0,0
71,3,,3,16,,1,2,1,2,4,,0,3,1,1,1,
74,3,72600,3,16,,1,1,1,2,2,,0,3,1,1,1,
65,2,19965,3,16,,1,1,2,2,6,,0,3,1,0,1,
41,1,23595,1,12,,1,2,3,2,8,,0,1,1,1,0,
38,3,87120,4,20,,2,2,2,1,4,,1,3,0,1,1,
25,2,23595,3,16,,1,1,1,1,1,,0,4,0,0,1,
25,3,116160,4,18,2,1,2,1,2,1,1,1,4,1,0,1,4
26,2,19965,1,16,,1,3,3,2,6,,0,3,1,0,1,
34,3,101640,4,18,2,1,1,2,2,2,0,1,4,1,1,1,3
36,3,72600,3,16,2,1,2,3,1,1,3,1,3,0,0,1,0
59,2,72600,0,11,,1,2,2,1,3,,1,4,0,1,1,
45,2,116160,2,14,,1,2,2,2,3,,1,4,1,1,1,
44,3,163843.847,4,16,1,1,2,1,1,1,1,1,3,0,1,1,5
66,3,72600,1,12,,1,1,1,2,1,,0,4,1,1,1,
43,4,163843.847,3,16,1,1,1,1,2,1,0,1,4,1,1,1,9
44,3,32670,4,18,1,1,3,3,1,2,2,1,2,0,0,0,0
37,3,59895,3,20,,1,2,3,1,2,,1,4,0,1,1,
48,3,72600,4,18,3,2,2,2,1,3,1,1,4,0,1,1,0
34,2,17242.5,1,12,1,,2,2,2,3,2,1,3,1,0,1,1
25,3,39930,1,12,,1,2,1,1,1,,1,3,0,1,1,
44,2,32670,1,13,2,2,2,3,2,6,1,1,3,1,0,1,0
63,2,,0,10,,1,1,3,2,6,,0,2,1,1,0,
64,2,15427.5,1,14,2,2,3,2,2,9,12,0,2,1,0,0,0
31,2,39930,0,10,4,1,1,3,2,4,3,1,4,1,1,1,0
53,4,163843.847,4,20,,1,1,1,2,5,,1,4,1,1,1,
53,3,,3,16,,1,2,1,2,2,,0,4,1,1,1,
59,3,163843.847,4,18,2,1,2,1,1,3,2,1,3,0,1,1,1
47,3,163843.847,4,18,2,1,2,2,1,1,1,1,3,0,1,1,4
52,2,39930,0,10,3,1,3,2,1,6,3,1,1,0,1,0,1
26,2,49005,0,11,,1,2,2,2,4,,1,3,1,0,1,
25,2,23595,1,11,,1,3,2,2,1,,0,2,1,0,0,
44,2,49005,0,6,,1,1,2,1,6,,1,4,0,1,1,
29,2,32670,1,13,,2,2,1,1,1,,1,4,0,0,1,
61,3,,1,13,3,2,1,3,1,2,4,0,3,0,1,1,0
66,2,72600,1,14,3,2,2,2,1,3,3,0,3,0,0,1,0
26,3,11797.5,3,16,1,2,2,1,1,3,0,1,4,0,0,1,0
29,3,59895,3,16,,1,1,2,2,1,,1,4,1,0,1,
30,3,23595,3,20,,1,1,2,1,1,,0,4,0,0,1,
56,2,19965,1,12,,1,2,3,1,6,,0,2,0,1,0,
28,2,49005,1,12,2,1,2,2,1,6,8,1,3,0,0,1,0
65,3,39930,1,12,2,1,2,2,1,7,6,0,1,0,0,0,0
49,4,163843.847,3,16,1,1,1,1,1,2,1,1,4,0,1,1,1
30,1,19965,1,14,2,1,2,2,2,2,6,0,2,1,1,0,2
67,3,59895,1,12,,1,2,1,1,3,,1,2,0,1,0,
65,3,19965,4,17,3,1,2,1,1,2,0,0,3,0,0,1,0
63,1,8167.5,1,12,,1,3,2,2,4,,0,4,1,0,1,
34,4,163843.847,4,17,1,1,1,2,2,1,1,1,3,1,1,1,2
37,3,163843.847,3,16,,1,1,2,2,4,,1,4,1,1,1,
81,3,,1,12,4,1,1,1,1,3,5,0,3,0,1,1,0
58,3,163843.847,4,20,,1,2,3,2,3,,1,4,1,1,1,
37,3,163843.847,4,20,,1,2,3,2,2,,1,4,1,0,1,
31,3,49005,3,19,,2,1,1,1,1,,1,4,0,0,1,
57,3,101640,4,18,2,1,2,2,2,6,2,1,3,1,0,1,0
59,3,163843.847,4,20,,1,2,1,2,1,,1,4,1,1,1,
59,4,163843.847,3,16,1,1,2,1,1,2,4,1,3,0,1,1,1
59,3,163843.847,4,18,,1,2,1,2,7,,1,4,1,1,1,
29,2,32670,1,13,2,1,2,2,1,2,2,1,3,0,0,1,1
28,2,87120,4,16,,1,1,2,1,2,,1,3,0,1,1,
71,2,23595,0,9,2,1,2,3,2,4,8,0,1,1,0,0,0
61,1,32670,1,12,2,1,2,3,2,6,5,0,3,1,0,1,1
34,3,8167.5,4,19,,1,2,2,2,1,,1,3,1,0,1,
